"unigram","bigram","trigram","quadgram","freq"
"in","a","state","of",8
"in","an","attempt","to",8
"in","the","case","of",8
"in","the","real","world",8
"is","one","of","those",8
"is","part","of","the",8
"it","was","one","of",8
"it","will","be","a",8
"john","smiths","grand","national",8
"know","that","i","am",8
"looking","forward","to","the",8
"of","the","holy","spirit",8
"on","a","regular","basis",8
"once","upon","a","time",8
"one","of","the","many",8
"one","of","the","things",8
"over","the","course","of",8
"plenty","of","time","to",8
"preheat","the","oven","to",8
"right","in","front","of",8
"thank","you","so","much",8
"that","i","have","been",8
"the","back","of","my",8
"the","face","of","the",8
"the","first","day","of",8
"the","only","thing","i",8
"the","past","five","years",8
"the","president","of","the",8
"the","s","and","s",8
"the","sound","of","the",8
"the","vast","majority","of",8
"there","was","no","way",8
"there","were","so","many",8
"theres","a","lot","of",8
"this","is","not","the",8
"this","is","the","first",8
"to","figure","out","what",8
"to","get","to","know",8
"to","the","top","of",8
"trying","to","figure","out",8
"we","dont","want","to",8
"what","its","like","to",8
"wont","be","able","to",8
"would","be","able","to",8
"you","look","at","the",8
"a","great","deal","of",7
"a","look","at","the",7
"a","matter","of","time",7
"a","wide","range","of",7
"all","over","the","place",7
"and","a","couple","of",7
"and","every","one","of",7
"and","i","will","be",7
"and","there","is","a",7
"are","some","of","the",7
"are","you","going","to",7
"as","far","as","i",7
"as","long","as","they",7
"as","soon","as","possible",7
"be","a","part","of",7
"but","at","the","same",7
"but","i","had","to",7
"by","the","time","we",7
"cant","wait","to","see",7
"come","up","with","a",7
"despite","the","fact","that",7
"did","you","know","that",7
"dont","know","how","to",7
"end","of","the","world",7
"even","if","it","means",7
"from","one","of","the",7
"give","it","a","try",7
"going","to","have","a",7
"good","news","is","that",7
"has","the","power","to",7
"have","to","have","a",7
"he","was","going","to",7
"hundreds","of","thousands","of",7
"i","can","think","of",7
"i","dont","have","a",7
"i","got","to","see",7
"i","had","no","idea",7
"i","have","a","hard",7
"i","have","decided","to",7
"i","have","never","been",7
"i","just","have","to",7
"i","just","want","to",7
"i","really","want","to",7
"i","think","i","have",7
"i","think","i","would",7
"i","think","this","is",7
"i","thought","i","was",7
"i","threw","up","because",7
"i","want","to","make",7
"i","was","thinking","about",7
"i","wasnt","going","to",7
"if","you","are","interested",7
"in","an","interview","with",7
"in","front","of","me",7
"in","order","to","get",7
"in","terms","of","the",7
"in","the","late","s",7
"in","the","long","run",7
"in","the","past","but",7
"in","the","th","century",7
"is","a","member","of",7
"it","had","to","be",7
"it","is","a","very",7
"it","is","easy","to",7
"it","is","important","to",7
"it","is","not","a",7
"it","is","time","to",7
"it","took","me","a",7
"it","turns","out","that",7
"it","was","a","very",7
"it","was","the","only",7
"it","was","time","for",7
"it","was","time","to",7
"keeping","up","with","the",7
"know","what","to","do",7
"no","such","thing","as",7
"occurred","to","me","that",7
"of","some","of","the",7
"of","the","new","york",7
"of","the","things","i",7
"other","side","of","the",7
"over","the","next","few",7
"please","feel","free","to",7
"said","in","a","statement",7
"so","that","i","can",7
"some","of","my","favorite",7
"take","a","look","at",7
"that","a","lot","of",7
"that","being","said","i",7
"that","i","have","a",7
"that","i","want","to",7
"that","many","of","the",7
"the","inside","of","the",7
"the","last","thing","i",7
"the","majority","of","the",7
"the","members","of","the",7
"the","only","way","to",7
"the","part","of","the",7
"the","time","of","the",7
"the","way","to","the",7
"there","is","a","lot",7
"think","it","would","be",7
"this","is","going","to",7
"this","is","why","i",7
"to","come","up","with",7
"to","do","with","it",7
"to","find","a","way",7
"to","get","back","to",7
"to","go","through","the",7
"to","keep","up","with",7
"to","make","sure","that",7
"to","make","up","for",7
"to","say","that","i",7
"to","take","care","of",7
"told","the","associated","press",7
"was","the","first","time",7
"we","were","going","to",7
"with","some","of","the",7
"would","be","a","good",7
"would","have","to","be",7
"would","love","to","hear",7
"you","are","going","to",7
"you","are","interested","in",7
"you","can","see","that",7
"you","will","have","to",7
"a","big","fan","of",6
"a","couple","of","days",6
"a","couple","of","hours",6
"a","little","bit","more",6
"a","long","time","ago",6
"a","lot","of","money",6
"a","lot","of","things",6
"a","whole","lot","of",6
"about","the","importance","of",6
"all","the","way","through",6
"all","the","way","to",6
"all","you","have","to",6
"and","as","a","result",6
"and","i","have","been",6
"and","it","was","a",6
"and","it","would","be",6
"and","most","of","the",6
"and","of","course","the",6
"and","out","of","the",6
"and","there","is","no",6
"anything","to","do","with",6
"as","it","turns","out",6
"as","long","as","i",6
"as","soon","as","the",6
"as","well","as","their",6
"at","a","time","when",6
"at","the","height","of",6
"at","the","time","and",6
"at","the","time","i",6
"because","i","have","a",6
"both","sides","of","the",6
"but","i","have","to",6
"but","i","think","it",6
"but","on","the","other",6
"by","members","of","the",6
"by","the","time","the",6
"did","you","have","a",6
"do","you","have","to",6
"dont","know","if","i",6
"each","and","every","one",6
"end","of","the","year",6
"every","now","and","then",6
"every","one","of","you",6
"executive","director","of","the",6
"for","a","little","while",6
"for","a","long","time",6
"for","more","than","a",6
"for","the","purpose","of",6
"had","never","heard","of",6
"had","the","opportunity","to",6
"hard","for","me","to",6
"hard","to","believe","that",6
"has","a","lot","of",6
"have","to","do","with",6
"have","to","go","to",6
"have","to","worry","about",6
"he","is","going","to",6
"i","am","not","sure",6
"i","can","tell","you",6
"i","cant","help","but",6
"i","decided","to","use",6
"i","did","not","have",6
"i","didnt","have","a",6
"i","dont","feel","like",6
"i","dont","have","to",6
"i","dont","know","about",6
"i","dont","need","to",6
"i","dont","think","so",6
"i","have","made","a",6
"i","have","to","do",6
"i","have","to","get",6
"i","hope","you","all",6
"i","learned","how","to",6
"i","look","forward","to",6
"i","need","to","do",6
"i","think","its","a",6
"i","want","you","to",6
"i","was","looking","for",6
"if","theres","one","thing",6
"if","they","want","to",6
"if","youd","like","to",6
"im","a","sucker","for",6
"im","just","going","to",6
"im","not","sure","how",6
"im","not","sure","if",6
"in","a","couple","of",6
"in","a","large","bowl",6
"in","an","effort","to",6
"in","charge","of","the",6
"in","light","of","the",6
"in","love","with","the",6
"in","need","of","a",6
"in","order","to","be",6
"in","response","to","the",6
"in","the","first","round",6
"in","the","hands","of",6
"in","the","process","of",6
"in","the","wake","of",6
"in","their","own","right",6
"incorporated","in","item","c",6
"is","by","no","means",6
"is","not","going","to",6
"is","said","to","be",6
"is","subject","to","change",6
"it","needs","to","be",6
"it","reminded","me","of",6
"it","was","a","great",6
"just","a","little","bit",6
"let","me","tell","you",6
"make","a","lot","of",6
"makes","me","want","to",6
"middle","of","the","night",6
"more","than","a","year",6
"more","than","any","other",6
"my","husband","and","i",6
"no","matter","how","much",6
"of","my","life","i",6
"of","the","fact","that",6
"of","the","things","that",6
"on","the","floor","and",6
"on","the","way","home",6
"one","of","the","greatest",6
"one","of","the","main",6
"one","of","the","only",6
"one","way","or","another",6
"oven","to","degrees","f",6
"over","the","last","few",6
"roll","hall","of","fame",6
"should","be","able","to",6
"so","there","you","go",6
"some","of","the","things",6
"spent","a","lot","of",6
"that","i","did","not",6
"that","it","was","a",6
"that","it","was","the",6
"that","there","is","a",6
"that","this","is","a",6
"the","best","way","to",6
"the","end","of","a",6
"the","fact","that","it",6
"the","fact","that","we",6
"the","fact","that","you",6
"the","first","half","of",6
"the","last","few","weeks",6
"the","last","few","years",6
"the","meaning","of","the",6
"the","most","important","thing",6
"the","next","couple","of",6
"the","past","few","months",6
"the","second","half","of",6
"the","truth","is","that",6
"there","is","no","doubt",6
"there","were","a","few",6
"this","is","not","a",6
"this","was","one","of",6
"this","was","the","first",6
"through","some","of","the",6
"to","be","on","the",6
"to","check","out","the",6
"to","give","me","a",6
"to","go","to","work",6
"to","know","each","other",6
"to","let","you","know",6
"to","look","at","the",6
"to","name","a","few",6
"to","one","of","the",6
"to","say","goodbye","to",6
"to","say","that","the",6
"to","take","pictures","of",6
"to","tell","you","that",6
"to","the","fact","that",6
"to","the","people","of",6
"to","the","united","states",6
"two","and","a","half",6
"up","and","down","the",6
"was","one","of","those",6
"was","part","of","the",6
"we","dont","have","to",6
"we","live","in","a",6
"were","supposed","to","be",6
"what","does","it","mean",6
"what","to","do","with",6
"what","was","going","on",6
"when","i","got","to",6
"with","a","group","of",6
"with","one","of","my",6
"with","the","exception","of",6
"with","the","help","of",6
"you","may","want","to",6
"you","will","need","to",6
"a","big","part","of",5
"a","certain","amount","of",5
"a","couple","of","months",5
"a","couple","of","other",5
"a","cup","of","coffee",5
"a","few","days","ago",5
"a","few","years","back",5
"a","large","amount","of",5
"a","little","bit","and",5
"a","lot","better","than",5
"a","lot","of","good",5
"a","lot","of","these",5
"a","means","for","sites",5
"a","participant","in","the",5
"a","person","who","has",5
"a","pinch","of","salt",5
"a","result","of","the",5
"a","year","or","two",5
"about","a","month","ago",5
"about","a","week","ago",5
"advertising","and","linking","to",5
"advertising","fees","by","advertising",5
"am","looking","forward","to",5
"amazon","eu","associates","programmes",5
"amazon","eu","this","content",5
"amazon","services","llc","and",5
"amazon","services","llc","andor",5
"amazonca","amazoncouk","amazonde","amazonfr",5
"amazoncom","amazonca","amazoncouk","amazonde",5
"amazoncouk","amazonde","amazonfr","amazonit",5
"amazonde","amazonfr","amazonit","and",5
"amazones","certain","content","that",5
"amazonfr","amazonit","and","amazones",5
"amazonit","and","amazones","certain",5
"and","a","bit","of",5
"and","a","sense","of",5
"and","amazon","eu","associates",5
"and","amazones","certain","content",5
"and","gave","it","to",5
"and","i","love","it",5
"and","i","want","to",5
"and","is","subject","to",5
"and","it","will","be",5
"and","linking","to","amazoncom",5
"and","roll","hall","of",5
"and","the","fact","that",5
"and","you","know","what",5
"andor","amazon","eu","this",5
"appears","on","this","website",5
"are","going","to","have",5
"are","one","of","the",5
"are","part","of","the",5
"are","supposed","to","be",5
"as","a","matter","of",5
"as","i","can","remember",5
"as","is","and","is",5
"as","long","as","you",5
"as","much","as","the",5
"as","well","as","some",5
"associates","programmes","designed","to",5
"at","least","one","of",5
"at","one","of","the",5
"at","some","of","the",5
"at","the","grocery","store",5
"at","the","moment","and",5
"at","the","time","of",5
"back","when","i","was",5
"be","able","to","get",5
"be","able","to","see",5
"be","honest","with","you",5
"be","sure","to","check",5
"because","i","have","to",5
"before","the","end","of",5
"billions","of","dollars","in",5
"but","i","wanted","to",5
"but","in","the","end",5
"but","it","is","not",5
"but","it","was","a",5
"but","the","obama","regime",5
"but","there","is","no",5
"by","advertising","and","linking",5
"cant","tell","you","how",5
"certain","content","that","appears",5
"change","or","removal","at",5
"come","to","an","end",5
"comes","from","amazon","services",5
"content","is","provided","as",5
"content","that","appears","on",5
"couple","of","weeks","ago",5
"day","of","the","year",5
"dc","in","next","dc",5
"designed","to","provide","a",5
"did","not","want","to",5
"do","my","best","to",5
"do","you","have","a",5
"does","not","need","to",5
"dont","get","me","wrong",5
"dont","know","about","you",5
"down","on","the","floor",5
"earn","advertising","fees","by",5
"especially","when","it","comes",5
"eu","associates","programmes","designed",5
"eu","this","content","is",5
"fact","that","i","have",5
"feel","like","i","am",5
"fees","by","advertising","and",5
"fell","in","love","with",5
"felt","like","i","was",5
"for","a","few","minutes",5
"for","a","few","seconds",5
"for","a","while","but",5
"for","at","least","a",5
"for","me","and","i",5
"for","me","to","get",5
"for","sites","to","earn",5
"for","the","next","few",5
"for","the","time","being",5
"for","those","of","us",5
"from","am","to","pm",5
"from","amazon","services","llc",5
"from","one","of","my",5
"getting","more","and","more",5
"going","to","be","able",5
"going","to","be","the",5
"got","to","be","the",5
"happened","in","the","past",5
"have","been","known","to",5
"have","the","opportunity","to",5
"have","to","wait","for",5
"havent","been","able","to",5
"he","said","he","was",5
"head","on","over","to",5
"here","are","some","of",5
"hop","on","over","to",5
"i","am","happy","to",5
"i","am","hoping","to",5
"i","am","looking","forward",5
"i","am","proud","to",5
"i","am","so","excited",5
"i","cant","tell","you",5
"i","could","see","the",5
"i","decided","that","i",5
"i","didnt","have","the",5
"i","didnt","know","what",5
"i","dont","get","to",5
"i","dont","think","i",5
"i","dont","think","that",5
"i","go","to","the",5
"i","got","to","the",5
"i","have","always","been",5
"i","have","been","having",5
"i","have","been","working",5
"i","have","had","a",5
"i","have","seen","the",5
"i","just","need","to",5
"i","knew","i","was",5
"i","knew","it","was",5
"i","knew","that","i",5
"i","know","how","to",5
"i","know","i","know",5
"i","look","at","the",5
"i","love","to","cook",5
"i","picked","up","a",5
"i","spent","much","of",5
"i","think","i","might",5
"i","thought","i","could",5
"i","want","to","thank",5
"i","wanted","to","go",5
"i","was","in","my",5
"i","was","reminded","of",5
"i","was","so","excited",5
"i","was","trying","to",5
"i","went","back","to",5
"i","went","to","a",5
"i","went","to","my",5
"i","went","to","the",5
"i","will","be","back",5
"i","will","have","to",5
"i","wonder","if","you",5
"i","would","have","liked",5
"i","would","have","loved",5
"i","would","have","to",5
"if","you","are","one",5
"if","you","look","at",5
"if","you","were","to",5
"im","going","to","get",5
"im","going","to","have",5
"im","going","to","try",5
"im","looking","forward","to",5
"im","still","not","sure",5
"in","a","few","hours",5
"in","a","lot","of",5
"in","a","variety","of",5
"in","front","of","him",5
"in","item","c","above",5
"in","the","absence","of",5
"in","the","amazon","services",5
"in","the","course","of",5
"in","the","end","the",5
"in","the","manhattan","kansas",5
"in","the","mean","time",5
"in","the","new","york",5
"in","the","right","direction",5
"in","the","st","century",5
"in","the","way","that",5
"in","the","world","is",5
"in","the","world","of",5
"in","time","for","the",5
"into","the","hands","of",5
"is","a","good","thing",5
"is","a","lot","of",5
"is","a","participant","in",5
"is","and","is","subject",5
"is","believed","to","be",5
"is","no","doubt","that",5
"is","no","such","thing",5
"is","not","one","of",5
"is","provided","as","is",5
"is","supposed","to","be",5
"is","that","there","is",5
"is","that","you","have",5
"it","is","a","good",5
"it","is","a","little",5
"it","is","going","to",5
"it","is","impossible","to",5
"it","is","one","of",5
"it","may","be","a",5
"it","occurred","to","me",5
"it","was","great","to",5
"item","c","above","pp",5
"know","what","you","think",5
"last","but","not","least",5
"let","me","know","what",5
"let","you","know","that",5
"linking","to","amazoncom","amazonca",5
"llc","and","amazon","eu",5
"llc","andor","amazon","eu",5
"make","it","to","the",5
"me","the","opportunity","to",5
"means","for","sites","to",5
"more","often","than","not",5
"more","than","a","few",5
"more","than","happy","to",5
"most","of","the","day",5
"much","as","i","do",5
"much","for","stopping","by",5
"my","last","post","i",5
"my","life","i","have",5
"my","wife","and","i",5
"need","to","do","is",5
"need","to","make","sure",5
"no","choice","but","to",5
"not","only","that","but",5
"not","the","only","one",5
"of","my","favorite","things",5
"of","people","who","are",5
"of","the","best","things",5
"of","the","main","characters",5
"of","the","reasons","i",5
"on","the","opposite","side",5
"on","the","side","of",5
"on","the","top","of",5
"on","this","website","comes",5
"one","of","the","biggest",5
"one","of","the","great",5
"one","of","them","is",5
"or","anything","like","that",5
"or","removal","at","any",5
"other","end","of","the",5
"out","of","the","car",5
"out","of","the","house",5
"over","the","last","couple",5
"over","the","years","ive",5
"part","of","the","reason",5
"participant","in","the","amazon",5
"preheat","oven","to","degrees",5
"proceeded","to","tell","me",5
"programmes","designed","to","provide",5
"provide","a","means","for",5
"provided","as","is","and",5
"quite","a","lot","of",5
"really","dont","want","to",5
"removal","at","any","time",5
"remove","from","the","heat",5
"rock","and","roll","hall",5
"said","in","an","interview",5
"see","it","in","the",5
"services","llc","and","amazon",5
"services","llc","andor","amazon",5
"sites","to","earn","advertising",5
"so","far","we","have",5
"so","i","had","to",5
"so","i","have","to",5
"so","i","thought","i",5
"so","im","going","to",5
"so","much","for","stopping",5
"so","much","so","that",5
"some","of","the","other",5
"something","to","do","with",5
"subject","to","change","or",5
"tells","the","story","of",5
"thank","you","for","the",5
"thanks","so","much","for",5
"that","a","person","is",5
"that","allows","us","to",5
"that","appears","on","this",5
"that","could","have","been",5
"that","i","have","to",5
"that","i","need","to",5
"that","i","wanted","to",5
"that","i","was","going",5
"that","i","would","be",5
"that","in","order","to",5
"that","it","is","a",5
"that","it","would","be",5
"that","most","of","the",5
"that","one","of","the",5
"that","would","be","a",5
"that","would","be","the",5
"that","you","need","to",5
"the","amazon","services","llc",5
"the","back","of","a",5
"the","best","of","the",5
"the","course","of","the",5
"the","end","of","last",5
"the","fact","that","he",5
"the","fact","that","its",5
"the","fact","that","she",5
"the","first","couple","of",5
"the","first","time","since",5
"the","idea","is","that",5
"the","importance","of","the",5
"the","kids","and","i",5
"the","kingdom","of","heaven",5
"the","last","time","i",5
"the","midst","of","the",5
"the","next","few","months",5
"the","only","one","that",5
"the","only","one","who",5
"the","only","thing","that",5
"the","other","end","of",5
"the","oven","to","degrees",5
"the","past","few","years",5
"the","pros","and","cons",5
"the","quality","of","the",5
"the","release","of","the",5
"the","rock","and","roll",5
"the","same","way","as",5
"the","size","of","a",5
"the","state","of","the",5
"the","th","anniversary","of",5
"the","time","i","was",5
"the","top","of","my",5
"the","two","of","them",5
"then","im","going","to",5
"there","are","plenty","of",5
"there","are","some","things",5
"there","have","been","many",5
"there","is","also","a",5
"there","is","no","such",5
"there","will","be","plenty",5
"there","would","be","no",5
"theres","one","thing","that",5
"they","dont","want","to",5
"this","content","is","provided",5
"this","is","a","good",5
"this","is","the","most",5
"this","website","comes","from",5
"time","in","my","life",5
"to","a","lot","of",5
"to","amazoncom","amazonca","amazoncouk",5
"to","be","a","good",5
"to","be","a","part",5
"to","be","in","a",5
"to","change","or","removal",5
"to","check","it","out",5
"to","deal","with","the",5
"to","do","a","little",5
"to","do","it","all",5
"to","do","the","same",5
"to","earn","advertising","fees",5
"to","get","her","to",5
"to","get","in","the",5
"to","go","on","a",5
"to","go","out","and",5
"to","let","go","of",5
"to","make","a","difference",5
"to","make","sure","i",5
"to","me","and","i",5
"to","me","this","is",5
"to","provide","a","means",5
"to","say","that","it",5
"to","see","all","the",5
"to","see","if","i",5
"to","see","so","many",5
"to","set","up","a",5
"to","stay","in","the",5
"to","the","extent","that",5
"to","the","point","where",5
"to","think","of","the",5
"to","try","to","get",5
"to","work","on","the",5
"too","much","of","a",5
"took","me","a","while",5
"until","the","end","of",5
"want","to","be","a",5
"want","to","hear","about",5
"want","to","make","a",5
"was","a","little","bit",5
"was","supposed","to","be",5
"we","all","know","that",5
"we","are","in","a",5
"we","had","a","good",5
"website","comes","from","amazon",5
"what","are","you","doing",5
"what","i","wanted","to",5
"what","i","was","doing",5
"what","is","it","about",5
"who","do","you","think",5
"who","i","am","and",5
"will","be","the","first",5
"will","have","to","do",5
"will","not","be","able",5
"with","a","variety","of",5
"would","be","in","the",5
"would","have","liked","to",5
"would","have","loved","to",5
"wrong","wrong","wrong","wrong",5
"you","and","your","family",5
"you","are","one","of",5
"you","are","trying","to",5
"you","can","see","the",5
"you","dont","need","to",5
"you","have","any","questions",5
"you","have","to","have",5
"you","know","how","to",5
"you","know","what","i",5
"you","might","want","to",5
"you","need","to","do",5
"you","need","to","know",5
"you","so","much","for",5
"you","want","to","go",5
"you","want","to","know",5
"a","better","way","to",4
"a","certain","kind","of",4
"a","chance","to","win",4
"a","cleaner","better","stronger",4
"a","deep","breath","and",4
"a","glass","of","wine",4
"a","good","place","to",4
"a","good","time","to",4
"a","group","of","friends",4
"a","hard","time","believing",4
"a","long","time","i",4
"a","lot","more","than",4
"a","lot","of","it",4
"a","lot","of","my",4
"a","lot","of","them",4
"a","lot","of","wonderful",4
"a","lot","of","work",4
"a","member","of","a",4
"a","note","on","the",4
"a","pair","of","scissors",4
"a","picture","of","a",4
"a","small","amount","of",4
"a","trip","to","the",4
"a","work","in","progress",4
"about","the","fact","that",4
"across","the","street","from",4
"all","i","can","do",4
"all","i","could","think",4
"all","i","have","to",4
"all","in","all","it",4
"all","of","them","are",4
"all","you","need","is",4
"always","going","to","be",4
"an","email","to","the",4
"an","hour","and","a",4
"an","idea","of","what",4
"an","integral","part","of",4
"an","interview","with","the",4
"and","a","half","years",4
"and","a","little","bit",4
"and","a","pair","of",4
"and","all","of","the",4
"and","as","i","was",4
"and","by","the","way",4
"and","ended","up","with",4
"and","guess","what","i",4
"and","i","am","so",4
"and","i","am","sure",4
"and","i","cant","wait",4
"and","i","had","the",4
"and","i","had","to",4
"and","i","have","to",4
"and","i","know","that",4
"and","i","need","to",4
"and","i","think","i",4
"and","i","was","able",4
"and","im","going","to",4
"and","in","some","cases",4
"and","it","has","been",4
"and","it","is","one",4
"and","its","not","like",4
"and","let","me","know",4
"and","let","me","tell",4
"and","make","sure","that",4
"and","no","matter","how",4
"and","one","of","my",4
"and","some","of","the",4
"and","thank","you","for",4
"and","that","is","the",4
"and","this","is","the",4
"and","to","be","honest",4
"and","we","have","to",4
"and","what","about","the",4
"and","you","can","get",4
"appears","to","be","the",4
"are","a","few","of",4
"are","just","a","few",4
"are","not","going","to",4
"are","the","result","of",4
"are","they","going","to",4
"around","the","world","the",4
"as","a","sort","of",4
"as","far","as","the",4
"as","long","as","it",4
"as","long","as","the",4
"as","long","as","we",4
"as","much","as","it",4
"as","much","as","we",4
"as","well","as","in",4
"as","well","as","other",4
"as","well","as","to",4
"as","well","as","your",4
"as","well","if","you",4
"asked","him","if","he",4
"at","some","point","and",4
"at","some","point","i",4
"at","some","point","in",4
